KNr	A	B	C	Gene	Function
K21786	metabolism	biosynthesis of other secondary metabolites	prodigiosin biosynthesis [path:ko00333]	pigF, redI	4-hydroxy-2,2'-bipyrrole-5-carbaldehyde O-methyltransferase [EC:2.1.1.-]
K21787	metabolism	biosynthesis of other secondary metabolites	prodigiosin biosynthesis [path:ko00333]	pigC, redH	prodigiosin/undecylprodigiosin synthetase
K21788	metabolism	biosynthesis of other secondary metabolites	prodigiosin biosynthesis [path:ko00333]	redP	dodecanoy-ACP synthase
K21789	metabolism	biosynthesis of other secondary metabolites	prodigiosin biosynthesis [path:ko00333]	redR	dodecanoy-ACP synthase
K21790	metabolism	biosynthesis of other secondary metabolites	prodigiosin biosynthesis [path:ko00333]	redQ	acyl carrier protein
K21791	metabolism	biosynthesis of other secondary metabolites	prodigiosin biosynthesis [path:ko00333]	redJ	thioesterase
K21792	metabolism	biosynthesis of other secondary metabolites	prodigiosin biosynthesis [path:ko00333]	redL	polyketide synthase
K21793	metabolism	biosynthesis of other secondary metabolites	prodigiosin biosynthesis [path:ko00333]	redK	oxidoreductase
K21794	metabolism	lipid metabolism	linoleic acid metabolism [path:ko00591]	E1.13.11.45	linoleate 11-lipoxygenase [EC:1.13.11.45]
K21795	metabolism	amino acid metabolism	phenylalanine metabolism [path:ko00360]	pao	phenylalanine 2-monooxygenase [EC:1.13.12.9]
K21796	metabolism	metabolism of cofactors and vitamins	porphyrin and chlorophyll metabolism [path:ko00860]	pebS	phycoerythrobilin synthase [EC:1.3.7.6]
K21797	multiple functions	multiple functions	multiple functions	SAC1, SACM1L	phosphatidylinositol 4-phosphatase [EC:3.1.3.-]
K21798	multiple functions	multiple functions	multiple functions	SAC2, INPP5F	phosphatidylinositol 4-phosphatase [EC:3.1.3.-]
K21799	brite hierarchies	protein families: genetic information processing	general protein families: genetic information processing	PURB	transcriptional activator protein Pur-beta
K21800	brite hierarchies	protein families: genetic information processing	dna replication proteins [br:ko03032]	PURG	purine-rich element-binding protein gamma
K21801	metabolism	amino acid metabolism	tryptophan metabolism [path:ko00380]	iaaH	indoleacetamide hydrolase [EC:3.5.1.-]
K21802	metabolism	xenobiotics biodegradation and metabolism	aminobenzoate degradation [path:ko00627]	vdh	vanillin dehydrogenase [EC:1.2.1.67]
K21803	brite hierarchies	protein families: genetic information processing	translation factors [br:ko03012]	METTL21B, EEF1AKMT3	EEF1A lysine methyltransferase 3 [EC:2.1.1.-]
K21804	brite hierarchies	protein families: genetic information processing	chaperones and folding catalysts [br:ko03110]	METTL21A	protein N-lysine methyltransferase METTL21A [EC:2.1.1.-]
K21805	brite hierarchies	protein families: genetic information processing	chaperones and folding catalysts [br:ko03110]	METTL21C	protein N-lysine methyltransferase METTL21C [EC:2.1.1.-]
K21806	brite hierarchies	protein families: genetic information processing	messenger rna biogenesis [br:ko03019]	VCPKMT, METTL21D	protein N-lysine methyltransferase METTL21D [EC:2.1.1.-]
K21807	multiple functions	multiple functions	multiple functions	E6	HPV protein E6
K21808	multiple functions	multiple functions	multiple functions	L2	HPV minor capsid protein L2
K21809	multiple functions	multiple functions	multiple functions	E7	HPV protein E7
K21810	multiple functions	multiple functions	multiple functions	E1	HPV replication protein E1 [EC:3.6.4.12]
K21811	multiple functions	multiple functions	multiple functions	E2	HPV regulatory protein E2
K21812	multiple functions	multiple functions	multiple functions	E5	HPV protein E5
K21813	brite hierarchies	protein families: genetic information processing	dna repair and recombination proteins [br:ko03400]	ENDOV	endonuclease V [EC:3.1.26.-]
K21814	brite hierarchies	protein families: metabolism	protein phosphatases and associated proteins [br:ko01009]	CPPED1	serine/threonine-protein phosphatase CPPED1 [EC:3.1.3.16]
K21815	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	efe	2-oxoglutarate dioxygenase / 2-oxoglutarate/L-arginine monooxygenase/decarboxylase [EC:1.13.12.19 1.14.20.7]
K21816	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	fsr	sulfite reductase (coenzyme F420) [EC:1.8.98.3]
K21817	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	blh	beta-carotene 15,15'-dioxygenase [EC:1.13.11.63]
K21818	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	cypD	cypemycin cysteine dehydrogenase (decarboxylating) [EC:1.3.99.36]
K21819	metabolism	biosynthesis of other secondary metabolites	indole alkaloid biosynthesis [path:ko00901]	EASG	agroclavine dehydrogenase [EC:1.5.1.46]
K21820	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	APO1	unspecific peroxygenase [EC:1.11.2.1]
K21821	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	hod	3-hydroxy-2-methylquinolin-4-one 2,4-dioxygenase [EC:1.13.11.48]
K21822	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	E1.13.11.82	8'-apo-carotenoid 13,14-cleaving dioxygenase [EC:1.13.11.82]
K21823	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	E1.13.12.13	oplophorus-luciferin 2-monooxygenase catalytic subunit [EC:1.13.12.13]
K21824	not included in pathway or brite	unclassified: metabolism	secondary metabolism	K21824	oplophorus-luciferin 2-monooxygenase non-catalytic subunit
K21825	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	argR	AraC family transcriptional regulator, L-arginine-responsive activator
K21826	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	gbdR	AraC family transcriptional regulator, glycine betaine-responsive activator
K21827	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	arcR	IclR family transcriptional regulator, arginine deiminase pathway regulator
K21828	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	arcR	CRP/FNR family transcriptional regulator, arginine deiminase pathway regulator
K21829	brite hierarchies	protein families: genetic information processing	transcription factors [br:ko03000]	dauR	D-arginine utilization repressor
K21830	not included in pathway or brite	unclassified: metabolism	lipid metabolism	pchP	phosphorylcholine phosphatase
K21831	not included in pathway or brite	unclassified: metabolism	others	choE	cholinesterase
K21832	not included in pathway or brite	poorly characterized	general function prediction only	gbcB	glycine betaine catabolism B
K21833	not included in pathway or brite	poorly characterized	general function prediction only	dgcA	dimethylglycine catabolism A
K21834	not included in pathway or brite	poorly characterized	general function prediction only	dgcB	dimethylglycine catabolism B
K21835	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	adf	secondary-alcohol dehydrogenase (coenzyme-F420) [EC:1.1.98.5]
K21836	metabolism	carbohydrate metabolism	pyruvate metabolism [path:ko00620]	dld	D-lactate dehydrogenase (acceptor) [EC:1.1.99.6]
K21837	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	ZSD1	zerumbone synthase [EC:1.1.1.326]
K21838	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	DBR2	artemisinic aldehyde Delta11(13)-reductase [EC:1.3.1.92]
K21839	not included in pathway or brite	unclassified: metabolism	enzymes with ec numbers	caa43	2-haloacrylate reductase [EC:1.3.1.103]
K21840	metabolism	carbohydrate metabolism	pentose phosphate pathway [path:ko00030]	HOX	hexose oxidase [EC:1.1.3.5]
K21841	brite hierarchies	protein families: genetic information processing	membrane trafficking [br:ko04131]	TBC1D24	TBC1 domain family member 24
K21842	brite hierarchies	protein families: genetic information processing	membrane trafficking [br:ko04131]	EFR3	protein EFR3
K21843	brite hierarchies	protein families: genetic information processing	membrane trafficking [br:ko04131]	TTC7	tetratricopeptide repeat protein 7
K21844	brite hierarchies	protein families: genetic information processing	membrane trafficking [br:ko04131]	FAM126	protein FAM126
K21845	brite hierarchies	protein families: genetic information processing	membrane trafficking [br:ko04131]	YPP1	cargo-transport protein YPP1
K21846	brite hierarchies	protein families: genetic information processing	membrane trafficking [br:ko04131]	TMEM150	transmembrane protein 150
K21847	brite hierarchies	protein families: genetic information processing	membrane trafficking [br:ko04131]	SGSM1, RUTBC2	small G protein signaling modulator 1
K21848	brite hierarchies	protein families: genetic information processing	membrane trafficking [br:ko04131]	ARV1	lipid intermediate transporter
K21849	brite hierarchies	protein families: genetic information processing	membrane trafficking [br:ko04131]	KEG1	beta-1,6-glucan synthesis-associated protein KEG1
K21850	brite hierarchies	protein families: genetic information processing	membrane trafficking [br:ko04131]	KRE6	beta-glucan synthesis-associated protein KRE6
K21851	brite hierarchies	protein families: genetic information processing	membrane trafficking [br:ko04131]	SGSM2, RUTBC1	small G protein signaling modulator 2
K21852	brite hierarchies	protein families: genetic information processing	membrane trafficking [br:ko04131]	DOCK6_7_8	dedicator of cytokinesis protein 6/7/8
K21853	brite hierarchies	protein families: genetic information processing	membrane trafficking [br:ko04131]	DOCK9_10_11	dedicator of cytokinesis protein 9/10/11
K21854	multiple functions	multiple functions	multiple functions	X	HBV protein X
K21855	multiple functions	multiple functions	multiple functions	EBNA3, EBNA3A	EBV nuclear antigen 3
K21856	multiple functions	multiple functions	multiple functions	EBNA4, EBNA3B	EBV nuclear antigen 4
K21857	multiple functions	multiple functions	multiple functions	tax	HTLV protein Tax-1
K21858	multiple functions	multiple functions	multiple functions	vIRF4, K10	KSHV interferon regulatory factor-like protein 4
K21859	multiple functions	multiple functions	multiple functions	KIE2, ORF45	KSHV transcription activator ORF45
K21860	multiple functions	multiple functions	multiple functions	K14	KSHV OX-2 membrane glycoprotein
K21861	multiple functions	multiple functions	multiple functions	ORF35	KSHV protein ORF35
K21862	brite hierarchies	protein families: signaling and cellular processes	transporters [br:ko02000]	DSC1, NaCP60E	voltage-gated cation channel
K21863	brite hierarchies	protein families: signaling and cellular processes	ion channels [br:ko04040]	NALCN	sodium leak channel non-selective protein
K21864	brite hierarchies	protein families: signaling and cellular processes	transporters [br:ko02000]	CCH1	voltage-dependent calcium channel
K21865	brite hierarchies	viral protein families	viral proteins [br:ko03200]	kcv	Chlorovirus potassium channel protein kcv
K21866	brite hierarchies	protein families: signaling and cellular processes	transporters [br:ko02000]	POLLUX, DMI1, CASTOR	ion channel POLLUX/CASTOR
K21867	brite hierarchies	protein families: signaling and cellular processes	transporters [br:ko02000]	AKT, KAT, GORK, SKOR	potassium channel
K21868	brite hierarchies	general brite hierarchies	general brite hierarchies	MYO7B	myosin VIIb
K21869	brite hierarchies	protein families: genetic information processing	chromosome and associated proteins [br:ko03036]	DDX53, CAGE	ATP-dependent RNA helicase DDX53 [EC:3.6.4.13]
K21870	brite hierarchies	protein families: genetic information processing	chromosome and associated proteins [br:ko03036]	BANF	barrier-to-autointegration factor
K21871	brite hierarchies	protein families: genetic information processing	chromosome and associated proteins [br:ko03036]	MPHOSPH8, MPP8	M-phase phosphoprotein 8
K21872	brite hierarchies	protein families: genetic information processing	chromosome and associated proteins [br:ko03036]	PPHLN1	periphilin-1
K21873	brite hierarchies	protein families: genetic information processing	chromosome and associated proteins [br:ko03036]	FAM208A	protein TASOR
K21874	brite hierarchies	protein families: genetic information processing	chromosome and associated proteins [br:ko03036]	SUN3	SUN domain-containing protein 3
K21875	brite hierarchies	protein families: genetic information processing	chromosome and associated proteins [br:ko03036]	SPAG4, SUN4	sperm-associated antigen 4 protein
K21876	brite hierarchies	protein families: genetic information processing	chromosome and associated proteins [br:ko03036]	SUN5	SUN domain-containing protein 5
K21877	brite hierarchies	protein families: genetic information processing	chromosome and associated proteins [br:ko03036]	USH1C	harmonin
K21878	brite hierarchies	protein families: genetic information processing	chromosome and associated proteins [br:ko03036]	USH1G	Usher syndrome type-1G protein
K21879	brite hierarchies	protein families: genetic information processing	chromosome and associated proteins [br:ko03036]	WHRN, USH2D	whirlin
K21880	brite hierarchies	general brite hierarchies	general brite hierarchies	MPP1	MAGUK 55 kDa erythrocyte membrane protein
K21881	brite hierarchies	protein families: genetic information processing	chromosome and associated proteins [br:ko03036]	USHBP1, MCC2	Usher syndrome type-1C protein-binding protein 1
